Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
Korea	Shot Canada	40:59	41:04	41:12	Scrimmage 1 April 29 2026	Elena	2	Opponent Save	3.5	Player 1
Korea	Shot Opponent	41:07	41:12	41:19	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	5	Florinda
Korea	Shot Canada	41:15	41:20	41:27	Scrimmage 1 April 29 2026	Florinda	5	Opponent Save	3	Player 1
Korea	Shot Opponent	41:22	41:27	41:34	Scrimmage 1 April 29 2026	Ahmad	2	Canada Ball Control Save	2	Elena
Korea	Shot Canada	41:30	41:35	41:44	Scrimmage 1 April 29 2026	Elena	1	Opponent Save	1.5	Ahmad
Korea	Shot Opponent	41:40	41:45	41:50	Scrimmage 1 April 29 2026	Ahmad	3	Canada Ball Control Save	1	Elena
Korea	Shot Canada	42:56	43:01	43:07	Scrimmage 1 April 29 2026	Cassandra	3	Opponent Save	3.5	Player 1
Korea	Shot Opponent	43:02	43:07	43:17	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	2	Elena
Korea	Shot Canada	43:13	43:18	43:23	Scrimmage 1 April 29 2026	Elena	2	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	43:19	43:24	43:29	Scrimmage 1 April 29 2026	Away Player 9	5	Opponent Out	0	
Korea	Shot Canada	43:23	43:28	43:42	Scrimmage 1 April 29 2026	Florinda	2	Opponent Save	4	Away Player 9
Korea	Shot Opponent	43:38	43:43	43:56	Scrimmage 1 April 29 2026	Player 1	3	Goal Opponent	1	Elena
Korea	Shot Canada	43:52	43:57	44:03	Scrimmage 1 April 29 2026	Elena	1	Opponent Save	4	Away Player 9
Korea	Shot Opponent	43:59	44:04	44:14	Scrimmage 1 April 29 2026	Ahmad	1	Opponent Out	6	
Korea	Shot Canada	44:10	44:15	44:26	Scrimmage 1 April 29 2026	Cassandra	3	Opponent Save	4.5	Away Player 9
Korea	Shot Opponent	44:22	44:27	44:32	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	3	Cassandra
Korea	Shot Canada	44:27	44:32	44:42	Scrimmage 1 April 29 2026	Florinda	4	Opponent Save	1	Ahmad
Korea	Shot Opponent	44:38	44:43	44:50	Scrimmage 1 April 29 2026	Ahmad	1	Canada Ball Control Save	2.5	Cassandra
Korea	Shot Canada	44:46	44:51	44:59	Scrimmage 1 April 29 2026	Elena	2	Opponent Save	4	Away Player 9
Korea	Shot Opponent	44:54	44:59	45:06	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Ball Control Save	2.5	Elena
Korea	Shot Canada	45:02	45:07	45:12	Scrimmage 1 April 29 2026	Elena	1	Opponent Save	5	Away Player 9
Korea	Shot Opponent	45:07	45:12	45:20	Scrimmage 1 April 29 2026	Away Player 9	5	Canada Save	2	Elena
Korea	Shot Canada	45:41	45:46	45:54	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	2	Player 1
Korea	Shot Opponent	45:49	45:54	46:07	Scrimmage 1 April 29 2026	Player 19	2	Canada Ball Control Save	3	Elena
Korea	Shot Canada	46:02	46:07	46:14	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	1.5	Player 19
Korea	Shot Opponent	46:10	46:15	46:28	Scrimmage 1 April 29 2026	Player 19	2	Canada Save	4	Emma
Korea	Shot Canada	46:23	46:28	46:40	Scrimmage 1 April 29 2026	Amy	3	Opponent Save	4	Player 6
Korea	Shot Opponent	46:35	46:40	46:45	Scrimmage 1 April 29 2026	Player 6	5	Canada Ball Control Save	1	Amy
Korea	Shot Canada	46:40	46:45	46:55	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	5	Player 6
Korea	Shot Opponent	46:51	46:56	47:05	Scrimmage 1 April 29 2026	Player 6	5	Canada Ball Control Save	3	Elena
Korea	Shot Canada	47:01	47:06	47:16	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	2.5	Player 12
Korea	Shot Opponent	47:12	47:17	47:23	Scrimmage 1 April 29 2026	Player 19	1	Canada Ball Control Save	4	Elena
Korea	Shot Canada	47:19	47:24	47:37	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	2.5	Player 1
Korea	Shot Opponent	47:32	47:37	47:44	Scrimmage 1 April 29 2026	Player 19	2	Opponent Out	0	
Korea	Shot Canada	47:40	47:45	48:01	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	5	Player 6
Korea	Shot Opponent	47:57	48:02	48:12	Scrimmage 1 April 29 2026	Player 6	4	Canada Save	4	Emma
Korea	Shot Canada	48:08	48:13	48:23	Scrimmage 1 April 29 2026	Emma	3	Opponent Save	2	Player 19
Korea	Shot Opponent	48:19	48:24	48:30	Scrimmage 1 April 29 2026	Player 19	2	Canada Save	2	Amy
Korea	Shot Canada	48:26	48:31	48:39	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	4	Player 1
Korea	T-END	48:42	48:42	48:42	Scrimmage 1 April 29 2026					
Korea	@@@P3	52:24	52:24	52:24	Scrimmage 1 April 29 2026					
Korea	T-START	52:24	52:24	52:24	Scrimmage 1 April 29 2026					
Korea	Shot Opponent	53:09	53:14	53:23	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	1.5	Cassandra
Korea	Shot Canada	53:18	53:23	53:28	Scrimmage 1 April 29 2026	Cassandra	1	Opponent Save	3	Player 1
